ID	Channel Name	Description	Channel Type	Gene Name	Gene ID in Wormbase	Proteins	
71	LGC-49		Ligand-Gated Ion Channel; ACC	lgc-49	WBGene00010741	LGC-49;	 View Detail Edit Delete
72	DEL-4	n/a	DEG/ENaC Channels; Subgroup 2	del-4	WBGene00012116	DEL-4;	 View Detail Edit Delete
73	ASIC-2		DEG/ENaC Channels; Subgroup 2	asic-2	WBGene00012137	ASIC-2;	 View Detail Edit Delete
74	KVS-4		Potassium Channel; Voltage-gated: Shab/Kv2	kvs-4	WBGene00012967	"KVS-4, isoform a; KVS-4, isoform b;"	 View Detail Edit Delete
75	LGC-52		Ligand-Gated Ion Channel; Aminergic	lgc-52	WBGene00013517	LGC-52;	 View Detail Edit Delete
76	KCNL-3		Potassium Channel; Calcium-activated SK	kcnl-3	WBGene00015387	KCNL-3;	 View Detail Edit Delete
77	DEL-9		DEG/ENaC Channels; 	del-9	WBGene00015957	DEL-9;	 View Detail Edit Delete
78	CHE-6		Cyclic Nucleotide-Gated Channel; Alpha/Beta subunit	che-6	WBGene00016026	CHE-6;	 View Detail Edit Delete
79	DELM-2		DEG/ENaC Channels; Subgroup 1	delm-2	WBGene00016063	DELM-2;	 View Detail Edit
80	ACD-1	n/a	DEG/ENaC Channels; Subgroup 1	acd-1	WBGene00016064	ACD-1;	
81	ACD-2		DEG/ENaC Channels; Subgroup 1	acd-2	WBGene00016066	ACD-2;	 View Detail Edit Delete
82	LGC-39		Ligand-Gated Ion Channel; Diverse	lgc-39	WBGene00017314	LGC-39;	 View Detail Edit Delete
83	ACD-4		DEG/ENaC Channels; Subgroup 1	acd-4	WBGene00017879	ACD-4;	 View Detail Edit Delete
84	F35H10.10		Metabotropic Neurotransmitter Receptors; Metabotropic Glutamate Receptor	F35H10.10	WBGene00018073	F35H10.10;	 View Detail Edit Delete
85	KVS-3		Potassium Channel; Voltage-gated: Shab/Kv2	kvs-3	WBGene00018402	KVS-3;	 View Detail Edit Delete
86	LGC-54		Ligand-Gated Ion Channel; Aminergic	lgc-54	WBGene00020528	LGC-54;	 View Detail Edit Delete
87	LGC-32		Ligand-Gated Ion Channel; Diverse	lgc-32	WBGene00020569	LGC-32;	 View Detail Edit Delete
88	LGC-50		Ligand-Gated Ion Channel; Aminergic	lgc-50	WBGene00020605	LGC-50;	 View Detail Edit Delete
89	LGC-40		Ligand-Gated Ion Channel; Diverse	lgc-40	WBGene00020767	LGC-40;	 View Detail Edit
90	CCB-2		"Calcium Channel; Voltage-gated, Beta"	ccb-2	WBGene00021125	"CCB-2, isoform a; CCB-2, isoform b;"	
91	LGC-45		Ligand-Gated Ion Channel; Diverse	lgc-45	WBGene00021146	LGC-45;	 View Detail Edit Delete
92	MGL-3	n/a	Metabotropic Neurotransmitter Receptors; Metabotropic Glutamate Receptor	mgl-3	WBGene00021152	"MGL-3, isoform a; MGL-3, isoform d; MGL-3, isoform e; MGL-3, isoform f; MGL-3, isoform g; MGL-3, isoform h;"	 View Detail Edit Delete
93	LGC-42		Ligand-Gated Ion Channel; Diverse	lgc-42	WBGene00021437	LGC-42;	 View Detail Edit Delete
94	KVS-5		Potassium Channel; Voltage-gated: Shab/Kv2	kvs-5	WBGene00021948	"KVS-5, isoform a; KVS-5, isoform b; KVS-5, isoform c; KVS-5, isoform d; KVS-5, isoform e; KVS-5, isoform f; KVS-5, isoform g;"	 View Detail Edit Delete
